Annotated,Comments,Nem,Image,Y,X,Mag,Family,Genus,Species,View,overall body length,distance of vulva from anterior ,% distance of vulva from anterior,stylet or spear length (stomatostyle or odontostyle),% distance from anterior to median bulb relative to length of esophagus,% distance of anterior phasmid from anterior of nematode in relation to body length,% distance of dorsal esophageal gland opening from stylet knobs in relation to stylet length,% distance of phasmid from anus in relation to length of tail,% distance of posterior phasmid from anterior of nematode in relation to body length,% length of anterior female gonad in relation to body length,% length of male gonad relative to body length,% length of posterior female gonad in relation to body length,(distance of dorsal esophageal gland opening from stylet knobs x 100)/(length of stylet),(distance of phasmid(when not erratic) from anus x 100)/( length of tail),body length / distance from anterior to base of esophageal glands,body length / distance from anterior to esophago-intestinal valve,body length / greatest body diameter,body length / tail length,capitulum length in µm,conus of stomatostyle/total stomatosyle length,distance from anterior end to excretory pore in µm,distance from base of stylet to median bulb valve/stylet length.,distance from vulva to anus,gubernaculurn length in µm,number of body annules between anterior and excretory pore,number of body annules between anus and tail tip,number of body annules between vulva and anus,number of body annules between vulva and tail tip,number of specimens on which measurements are based,portion of body from anus or cloaca to posterior terminus,SE/L (measured in same units) expressed as %).,spicule length in µm,stylet extension (odontophore) length in µm,stylet length / body diameter at base of stylet,stylet length/body length (measured in same units as %).,tail length / tail diameter at anus or cloaca,total number of body annules,Flickr URL,Dir
,,Nem_0006,,16.1,138.9,,Plectidae,,,,548.42,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0003/Metadata.ods
,,Nem_0001,,6.1,144.0,,Alaimidae,,,,1536.91,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0004/Metadata.ods
,,Nem_0002,,7.5,143.8,,Dorylaimidae,,,,1129.98,757.07,0.669985309474504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0004/Metadata.ods
,,Nem_0003,,9.1,140.1,,Trichodoridae ,,,,559.39,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0004/Metadata.ods
,,Nem_0004,,9.5,146.5,,Dorylaimidae,,,,907.27,725.27,0.799398194583751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0004/Metadata.ods
,,Nem_0005,,11.1,146.9,,Tylenchidae,,,,904.93,724.99,0.801155890510868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0004/Metadata.ods
,,Nem_0006,,13.0,134.1,,Plectidae,,,,1299.1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0004/Metadata.ods
,,Nem_0007,,11.9,147.0,,Tylenchidae,,,,612.8,411.08,0.670822454308094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0004/Metadata.ods
,,Nem_0008,,15.9,134.1,,Dorylaimidae,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0004/Metadata.ods
,,Nem_0001,dd,10.1,135.0,,Plectidae,,,,837.89,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0005/Metadata.ods
,,Nem_0002,,13.0,136.2,,Plectidae,,,,776.9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0005/Metadata.ods
,,Nem_0003,,13.9,134.0,,Plectidae,,,,1310.75,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0005/Metadata.ods
,,Nem_0004,,12.9,137.5,,Plectidae,,,,959.85,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0005/Metadata.ods
,,Nem_0005,,16.0,141.0,,Monhysteroidea ,Monhystera ,,,797.42,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0005/Metadata.ods
,,Nem_0001,,10.5,134.4,,Rhabditidae,Neosteinernema,,,620.34,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0006/Metadata.ods
,,Nem_0002,,10.9,137.0,,Tylenchidae,Malenchus,,,578.52,390.83,0.675568692525755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0006/Metadata.ods
,,Nem_0003,,13.1,138.2,,Plectidae,,,,903.5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0006/Metadata.ods
,,Nem_0004,,14.9,136.4,,Criconematidae,,,,833.99,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0006/Metadata.ods
,,Nem_0005,,15.9,139.9,,Rhabditidae,,,,1314.42,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0006/Metadata.ods
,,Nem_0001,,9.5,142.0,,Mononchidae,,,,2479.78,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0007/Metadata.ods
,,Nem_0002,,10.5,138.9,,Criconematidae,,,,605.35,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0007/Metadata.ods
,,Nem_0003,,11.5,136.5,,Mononchidae,,,,1298.97,800.36,0.616149718623217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0007/Metadata.ods
,,Nem_0004,,13.1,142.0,,Tylenchidae,,,,605.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0007/Metadata.ods
,,Nem_0005,,13.1,138.0,,Dorylaimidae,,,,2666.28,1397.73,0.524224762590576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0007/Metadata.ods
,,Nem_0001,dd,11.9,134.9,,Dorylaimidae,,,,2258.82,1176.38,0.520794042907359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0008/Metadata.ods
,,Nem_0002,,14.9,140.7,,Tylenchidae,,,,641.16,418.42,0.652598415372138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0008/Metadata.ods
,,Nem_0003,,16.0,131.0,,Dorylaimidae,,,,3508.05,1989.02,0.566987357648836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0008/Metadata.ods
,,Nem_0004,,15.9,141.0,,Criconematidae,,,,579.92,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0008/Metadata.ods
,,Nem_0005,,15.0,140.0,,Tylenchidae,,,,631.65,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0008/Metadata.ods
,,Nem_0006,,16.0,140.5,,Criconematidae,,,,656.87,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0008/Metadata.ods
,,Nem_0007,,20.5,135.0,,Tylenchidae,,,,668.3,454.72,0.680412988178962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0008/Metadata.ods
,,Nem_0001,dd,15.9,140.0,,Mononchidae,,,,2111.08,1351.77,0.640321541580613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0009/Metadata.ods
,,Nem_0002,,18.9,137.1,,Criconematidae,,,,666.97,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0009/Metadata.ods
,,Nem_0001,,11.9,141.0,,Dorylaimidae,,,,1103.27,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0010/Metadata.ods
,,Nem_0002,,12.1,137.5,,Plectidae,,,,737.69,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0010/Metadata.ods
,,Nem_0003,,13.0,142.0,,Tylenchidae,,,,575.52,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0010/Metadata.ods
,,Nem_0004,,14.0,137.3,,Criconematidae,,,,628.1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0010/Metadata.ods
,,Nem_0005,,16.9,139.0,,Plectidae,,,,773.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0010/Metadata.ods
,,Nem_0006,,18.0,143.0,,Dorylaimidae,,,,990.43,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0010/Metadata.ods
,,Nem_0001,dd,9.9,140.0,,Mononchidae,,,,2035.35,1274.26,0.626064313263075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0011/Metadata.ods
,,Nem_0002,,10.1,136.5,,Dorylaimidae,,,,864.23,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0011/Metadata.ods
,,Nem_0003,,11.0,139.0,,Plectidae,,,,739.19,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0011/Metadata.ods
,,Nem_0004,,12.1,136.5,,Cephalobidae,Chiloplacus,,,420.68,275.67,0.655296187125606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0011/Metadata.ods
,,Nem_0005,,13.0,142.0,,Dorylaimidae,,,,3749.97,1984.2,0.529124232993864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0011/Metadata.ods
,,Nem_0006,,14.0,138.0,,Dorylaimidae,,,,1463.04,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0011/Metadata.ods
,,Nem_0007,,13.9,137.0,,Tylenchidae,,,,666.0,352.56,0.529369369369369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0011/Metadata.ods
,,Nem_0008,,17.5,140.0,,Dorylaimidae,,,,688.16,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0011/Metadata.ods
,,Nem_0009,,19.0,139.1,,Plectidae,,,,655.37,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0011/Metadata.ods
,,Nem_0001,dd,8.0,138.0,,Plectidae,,,,693.68,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0012/Metadata.ods
,,Nem_0002,,9.0,138.0,,Plectidae,,,,538.04,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0012/Metadata.ods
,,Nem_0003,,9.5,143.9,,Tylenchidae,,,,642.46,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0012/Metadata.ods
,,Nem_0004,,11.9,143.0,,Plectidae,,,,595.43,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0012/Metadata.ods
,,Nem_0005,,11.9,136.3,,Dorylaimidae,,,,634.94,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0012/Metadata.ods
,,Nem_0006,,12.1,139.0,,Plectidae,,,,683.69,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0012/Metadata.ods
,,Nem_0007,,12.1,142.0,,Dorylaimidae,,,,616.77,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0012/Metadata.ods
,,Nem_0008,,13.0,140.0,,Dorylaimidae,,,,2247.91,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0012/Metadata.ods
,,Nem_0009,,14.0,137.0,,Plectidae,,,,1175.72,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0012/Metadata.ods
,,Nem_0010,,13.9,141.0,,Dorylaimidae,,,,2503.77,1270.35,0.507374878682946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0012/Metadata.ods
,,Nem_0011,,16.0,143.2,,Dorylaimidae,,,,1469.82,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0012/Metadata.ods
,,Nem_0001,dd,13.9,140.3,,Plectidae,,,,1160.84,584.37,0.503402708383584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0013/Metadata.ods
,,Nem_0002,,14.9,138.0,,Dorylaimidae,,,,1497.75,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0013/Metadata.ods
,,Nem_0003,,15.9,141.1,,Tylenchidae,,,,1135.48,637.15,0.561128333392046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0013/Metadata.ods
,,Nem_0004,,17.1,134.9,,Plectidae,,,,558.19,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0013/Metadata.ods
,,Nem_0005,,18.9,139.0,,Criconematidae,,,,728.79,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0013/Metadata.ods
,,Nem_0006,,21.1,138.3,,Trichodoridae ,,,,715.1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0013/Metadata.ods
,,Nem_0001,,6.5,140.0,,Plectidae,,,,990.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0014/Metadata.ods
,,Nem_0002,,7.0,139.0,,Dorylaimidae,,,,932.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0014/Metadata.ods
,,Nem_0003,,8.4,136.1,,Dorylaimidae,,,,510.41,,-177.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0014/Metadata.ods
,,Nem_0004,,9.7,135.0,,Plectidae,,,,1091.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0014/Metadata.ods
,,Nem_0005,,9.9,137.1,,Plectidae,,,,791.73,,383.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0014/Metadata.ods
,,Nem_0006,,11.0,137.1,,Dorylaimidae,,,,2275.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0014/Metadata.ods
,,Nem_0007,,11.5,139.9,,Dorylaimidae,,,,1741.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0014/Metadata.ods
,,Nem_0008,,13.0,134.5,,Dorylaimidae,,,,2436.91,,1244.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0014/Metadata.ods
,,Nem_0009,,13.1,136.9,,Criconematidae,,,,570.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0014/Metadata.ods
,,Nem_0010,,15.4,135.9,,Criconematidae,,,,679.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0014/Metadata.ods
,,Nem_0011,,15.2,138.0,,Plectidae,,,,1069.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0014/Metadata.ods
,,Nem_0001,dd,5.9,139.5,,Mononchidae,,,,1248.61,752.48,0.602654151416375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods
,,Nem_0002,,5.9,138.1,,Dorylaimidae,,,,598.41,412.06,0.688591433966678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods
,,Nem_0003,,7.9,139.2,,Plectidae,,,,826.68,412.34,0.498790342091257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods
,,Nem_0004,,8.3,138.0,,Dorylaimidae,Acrobeles,,,512.2,325.25,0.635005857087075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods
,,Nem_0005,,9.0,133.9,,Cephalobidae,,,,371.61,233.34,0.627916363929927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods
,,Nem_0006,,9.9,137.0,,Criconematidae,,,,629.25,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods
,,Nem_0007,,10.1,137.0,,Trichodoridae ,,,,772.23,403.88,0.523004804268158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods
,,Nem_0008,,10.1,134.0,,Plectidae,,,,1197.39,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods
,,Nem_0009,,13.3,130.1,,Dorylaimidae,,,,903.14,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods
,,Nem_0010,,13.9,132.0,,Plectidae,,,,599.81,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods
,,Nem_0011,,14.0,136.9,,Dorylaimidae,,,,607.15,410.94,0.676834390183645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods
,,Nem_0012,,14.5,134.0,,Plectidae,,,,1039.84,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods
,,Nem_0013,,15.0,138.2,,Mononchidae,,,,1588.63,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods
,,Nem_0014,,17.0,137.5,,Mononchidae,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods
,,Nem_0001,,3.9,137.3,,Dorylaimidae,,,,647.16,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0016/Metadata.ods
,,Nem_0002,,13.8,139.5,,Mononchidae,,,,937.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0016/Metadata.ods
,,Nem_0003,,14.1,138.0,,Rhabditidae,,,,516.02,390.22,0.75621099957366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0016/Metadata.ods
,,Nem_0001,,8.9,132.1,,Plectidae,Plectus,,,671.64,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0017/Metadata.ods
,,Nem_0002,,9.9,136.1,,Plectidae,Plectus,,,816.73,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0017/Metadata.ods
,,Nem_0003,,11.5,138.0,,Rhabditidae,,,,698.91,345.2,0.493911948605686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0017/Metadata.ods
,,Nem_0004,,13.1,138.2,,Mononchidae,,,,2031.1,1257.14,0.618945399044853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0017/Metadata.ods
,,Nem_0005,,15.3,141.0,,Plectidae,Plectus,,,1105.71,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0017/Metadata.ods
,,Nem_0006,,15.9,136.5,,Dorylaimidae,,,,892.23,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0017/Metadata.ods
,,Nem_0001,,9.9,134.9,,Trichodoridae ,,,,727.92,409.11,0.562026046818332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0018/Metadata.ods
,,Nem_0002,,9.5,139.5,,Criconematidae,,,,644.08,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0018/Metadata.ods
,,Nem_0003,,11.6,134.5,,Dorylaimidae,,,,613.47,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0018/Metadata.ods
,,Nem_0004,,12.0,136.0,,Plectidae,Plectus,,,867.97,433.11,0.498991900641727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0018/Metadata.ods
,,Nem_0005,,14.0,137.0,,Plectidae,Anaplectus,,,937.56,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0018/Metadata.ods
,,Nem_0006,,14.1,142.9,,Dorylaimidae,,,,515.77,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0018/Metadata.ods
,,Nem_0007,,14.1,142.0,,Tylenchidae,,,,1300.55,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0018/Metadata.ods
,,Nem_0008,,14.9,134.9,,Dorylaimidae,,,,607.26,412.77,0.679725323584626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0018/Metadata.ods
,,Nem_0001,,8.9,137.2,,Dorylaimidae,,,,586.38,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0019/Metadata.ods
,,Nem_0002,,10.0,136.1,,Dorylaimidae,,,,1020.61,553.17,0.541999392520159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0019/Metadata.ods
